ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S33,         S-S12,         S-S13,         S-S23
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         39340,             1,   12.3744E-03,   32.5641E-03,       2.35045,"BARC-1_SET-1","ALUMINUM","",   675.148E+06,   477.943E+09,  -1.23048E+09,   4.58672E+09,   2.61398E+09,   56.2813E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         39920,             1,   9.11795E-03,  -33.8667E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -44.8034E+09,  -245.022E+09,  -5.25489E+09,   9.71585E+09,  -5.62363E+09,   384.716E+06
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         39932,             1,  -8.46667E-03,  -33.2154E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -127.913E+09,  -1.38289E+12,   10.6363E+09,  -120.555E+09,   5.54541E+09,  -6.21558E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         39982,             1,  -1.30256E-03,  -32.5641E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -187.133E+09,  -909.914E+09,  -5.11621E+09,  -48.7775E+09,  -4.11485E+09,  -7.95662E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         39989,             1,   3.25641E-03,  -32.5641E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -136.178E+09,  -620.120E+09,  -3.99174E+09,  -16.4970E+09,  -5.43150E+09,  -4.81377E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         40126,             1,  -9.11795E-03,  -29.9590E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -68.5175E+09,  -1.35724E+12,  -1.12738E+09,  -73.0440E+09,   2.66105E+09,  -5.46226E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         40293,             1,  -1.95385E-03,  -27.3538E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -109.038E+09,  -871.360E+09,  -625.672E+06,  -34.1468E+09,  -1.39296E+09,  -5.52080E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         40303,             1,   4.55897E-03,  -27.3538E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -70.3971E+09,  -488.878E+09,  -377.114E+06,  -14.8397E+09,  -2.75584E+09,  -3.78853E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         40349,             1,   9.11795E-03,  -26.7026E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -22.8754E+09,  -219.548E+09,   302.581E+06,  -10.8699E+09,  -2.07232E+09,  -2.79223E+09
C:/Users/VibDynGrp/Box/VibDynGrp/StudentFolders/Behling/FEA/Rocket/BARC_FixedBase_STRESS.odb,eig,Mode         3: Value =  1.26167E+08 Freq =   1787.7     (cycles/time),"PART-1-1",         40594,             1,  -9.11795E-03,  -22.1436E-03,       2.34982,"BARC-1_SET-1","ALUMINUM","",  -29.9431E+09,  -1.19551E+12,  -966.588E+06,  -5.96620E+09,   1.08953E+09,  -5.06655E+09
