ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S33,         S-S12,         S-S13,         S-S23
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         46465,             1,   8.46667E-03,   60.6425E-03,       2.31920,"BARC-1_SET-1","ALUMINUM","",   31.7231E+09,  -1.42028E+09,   1.09956E+12,   989.919E+06,  -156.315E+09,  -37.0792E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         46510,             1,   8.46667E-03,   60.6425E-03,       2.31331,"BARC-1_SET-1","ALUMINUM","",  -56.5880E+09,   2.57959E+09,   206.390E+09,  -3.12651E+09,  -145.665E+09,  -46.1155E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         46730,             1,   7.81539E-03,   60.6425E-03,       2.32900,"BARC-1_SET-1","ALUMINUM","",   140.004E+09,   2.45117E+09,   2.05258E+12,   4.27040E+09,  -54.4561E+09,  -16.4062E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         46771,             1,   7.81539E-03,   63.1825E-03,       2.32312,"BARC-1_SET-1","ALUMINUM","",  -89.2971E+09,  -2.10761E+09,  -790.053E+09,   2.48418E+09,   82.2822E+09,  -29.3815E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         46921,             1,   7.81539E-03,   63.1825E-03,       2.30351,"BARC-1_SET-1","ALUMINUM","",   550.945E+09,   36.4795E+09,   2.43507E+12,  -21.4838E+09,  -63.4527E+09,  -61.1494E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         46946,             1,   7.16410E-03,   63.1825E-03,       2.34469,"BARC-1_SET-1","ALUMINUM","",  -320.391E+09,  -29.3115E+09,  -1.28604E+12,   12.1260E+09,  -167.407E+09,   7.57031E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47016,             1,   7.16410E-03,   63.1825E-03,       2.33554,"BARC-1_SET-1","ALUMINUM","",  -210.779E+09,   5.68012E+09,  -1.53443E+12,   5.71303E+09,  -93.6392E+09,  -2.20648E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47125,             1,   7.16410E-03,   60.6425E-03,       2.32181,"BARC-1_SET-1","ALUMINUM","",   77.5482E+09,  -967.976E+06,   1.40264E+12,   1.74359E+09,  -120.985E+09,  -32.0821E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47206,             1,   7.16410E-03,   63.1825E-03,       2.31070,"BARC-1_SET-1","ALUMINUM","",   165.980E+09,   14.1482E+09,   1.08639E+12,  -5.61342E+09,   50.0133E+09,  -49.7442E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47221,             1,   7.16410E-03,   63.1825E-03,       2.30874,"BARC-1_SET-1","ALUMINUM","",   230.981E+09,  -17.2013E+09,   1.43784E+12,  -8.49160E+09,   22.5536E+09,  -53.3944E+09
